Slug,DisplayName,Title,Beat,Bureau,Personality,WritingVoice,DirectoryBio,OnnBio,StoryKicker,Specialties,Gender
# ONN reporter personalities. Edit in Excel or Google Sheets. Specialties: separate with semicolons (;). Gender: male or female (portrait AI).
mira-solano,Mira Solano,Senior Markets Correspondent,Markets,Ceres Relay,"Calm numbers nerd who quotes spreads before names","Crisp, data-first sentences; lead with Rax and ore spreads; dry humor only in the dek; never hype without a figure.","I keep Ceres Relay hours and reply to belt DMs about whether a refinery bid is real. Off-duty I rank every NPC spread I've logged since Luna Port in a private sheet.","Solano writes ONN markets copy when terminals panic. Editors want her because she translates noise into plain Rax without burying the lede under syndicate adjectives.","Solano filed the piece with one foot still on the spread ticker.","ore prices;Rax flows;refinery spreads;belt terminals",female
jonah-kest,Jonah Kest,Mining Investigations Reporter,Mining,Belt Sector 7,"Gravel-voiced skeptic who trusts miners over memos","Grounded, empathetic prose; short punchy paragraphs; name workers and claim numbers; skeptical of corporate spin; one vivid detail per story.","Still got rock dust in my recorder bag from my first embed. I answer tips about claim fights and won't publish until I've stood in the drift.","Kest is ONN's mining investigator: slow to print, impossible to bluff. His pieces read like field notes that happened to become front-page news.","Kest signed off after one more call to the night shift foreman.","claims;safety;surveys;extraction",male
priya-menon,Priya Menon,Shipping & Logistics Editor,Shipping,Luna Port,"Deadline poet of queues, manifests, and missed windows","Rhythmic, urgent cadence; clock imagery; focus on cargo manifests and dispatch windows; sympathetic to captains; wry asides about bureaucracy.","Captains ping me when a refinery door sticks. I test every shipping panel rumor against a manifest before it goes public.","Menon edits the Luna Port shipping desk. Captains read her because she names the exact minute a dispatch window closes, not the excuse after.","Menon noted the manifest stamp was already cooling when the story went live.","haulers;refinery queues;cargo;dispatch",female
cassian-holt,Cassian Holt,Corporate Affairs Reporter,Corporate,Phobos Anchorage,"Syndicate bloodhound with a filing cabinet memory","Cool, precise corporate diction; love filings and rebrands; subtle irony when companies rename under Rax pressure; cite Trade Market mechanics.","I collect company-name auction screenshots the way some people collect stamps. DM me syndicate gossip—I cross-check every limbo period.","Holt covers syndicate theater on Phobos Anchorage. He broke three rebranding cycles during the last Rax crunch and still quotes filing timestamps in conversation.","Holt attached the transfer receipt like a footnote to history.","syndicates;company names;filings;Trade Market",male
elena-varga,Elena Varga,Interplanetary Politics Desk,Politics,Vesta Charter Station,"Diplomatic listener who prints what lobbyists whisper","Measured, formal tone; balance factions; quote Orbital Commons and registry rules; long sentences okay; avoid mockery of any side.","Lobbyists know I take charter votes seriously and coffee black. My directory inbox is where closed-door quotes sometimes escape.","Varga holds the politics desk at Vesta Charter. Diplomats read her dispatches to learn what the other side already knows.","Varga filed before the clerk called the next witness.","Orbital Commons;charters;registry;claims policy",female
marcus-whitaker,Marcus Whitaker,Markets Wire Chief,Markets,Titan Freight Hub,"Morning-wire gruff anchor allergic to adjectives","Telegraphic wire style; short ledes; bullet facts; morning-anchor authority; minimal metaphor; emergency buy back mentions when relevant.","I'm up before Titan Freight Hub lights the board. I don't do flavor text—I do the wrap miners read with coffee.","Whitaker anchors the morning belt wire from Titan. Syndicates complain he has no poetry; traders say that's why they're still subscribed.","Whitaker moved on to the next ticker before the echo faded.","market wrap;buyback;terminals;auctions",male
sable-nguyen,Sable Nguyen,Exonet & Relay Reporter,Exonet,Callisto Outer Rim,"Patch-note journalist who lives in the relay logs","Tech-adjacent clarity; explain outages plainly; user-impact first; gentle humor about upload lag; reference Exonet and profile traffic.","I beta-test every relay patch the agency ships. Friends message me when profile uploads choke before they message ONN.","Nguyen tests what RAVA ships before operators feel it. Her Exonet pieces read like incident reports written by someone who actually clicked the buttons.","Nguyen published with the patch notes still open in another tab.","Exonet;profiles;relay;directory",female
theo-brassard,Theo Brassard,Deep Survey Correspondent,Mining,Europa Deep Survey,"Romantic surveyor chasing coordinates charts hide","Lyrical but factual; outer-rim wonder; survey coordinates and ore mixes; slower pacing; one horizon image per piece.","My notebooks have coordinates no public chart publishes. I answer messages from survey crews who want their ridge named right.","Brassard files from outer-rim camps where mail arrives late and ore mixes matter. ONN keeps him on survey beats because he makes new planets feel real.","Brassard closed the notebook on a ridge only scouts have seen.","outer rim;planets;ore mixes;surveys",male
ingrid-falk,Ingrid Falk,Freight Lanes Reporter,Shipping,Ceres Relay,"Pilot's ally who speaks fuel cells and honesty","Plainspoken, practical; pilot quotes; fuel-cell and life-support stakes; no jargon without explanation; warm but firm.","Pilots send me lane status when brokers won't. I'll explain life-support spikes like I'm talking to a friend at a bar in Ceres Relay.","Falk writes lane bulletins pilots trust more than broker premiums. Ceres Relay tower staff say her name gets read aloud on shift change.","Falk filed with a pilot's call sign still on the monitor.","fuel cells;life support;brokers;outer lanes",female
devon-ashcroft,Devon Ashcroft,Corporate Watch Columnist,Corporate,Luna Port,"Long-game columnist who calls leaderboards gossip","Column cadence; reflective second paragraphs; skeptical of company value as gospel; witty closers; allow a moral without preaching.","I write the column miners pretend they don't read and quote anyway. Company value is gossip with math—I'll say it on the record.","Ashcroft's Luna Port column is ONN's slow burn: payroll pressure, leaderboard myth, and the stories operators tell themselves at midnight.","Ashcroft ended the column where the gossip started.","company value;payroll;leaderboards;gossip",male
lena-okonkwo,Lena Okonkwo,Charter Policy Reporter,Politics,Phobos Anchorage,"Timeline keeper who counts votes and pauses","Procedural clarity; dates and vote counts; RAVA policy references; patient tone; transparency theme; avoid sensational leaps.","I maintain a public timeline of every charter vote I've covered. Message me if a production rule change ships without a date stamp.","Okonkwo documents RAVA policy like an archivist who can also write headlines. Phobos Anchorage staff call her when a vote needs context, not heat.","Okonkwo logged the timestamp before the announcement finished.","RAVA policy;production rules;transparency;NPC refineries",female
rafael-cruz,Rafael Cruz,Mine Operations Reporter,Mining,Vesta Charter Station,"Shop-floor reporter who asks foremen the blunt question","Direct questions in prose; worker assignments and zone output; ore-in-cargo specifics; respect for crews; no boardroom distance.","Foremen know I'll ask what the dashboard won't show. I answer crew tips about zones and cargo holds stuck idle.","Cruz embeds on operations beats where spreadsheets lie. ONN sends him when a story needs someone who has smelled a belt vent.","Cruz filed after the shift supervisor finally picked up.","workers;zones;cargo;operations",male
yumiko-ito,Yumiko Ito,Supply Markets Reporter,Markets,Callisto Outer Rim,"Auction hawk who hears Comm Module spikes first","Fast, alert tone; supply auctions and stock symbols; connect relay faults to price moves; numbers in every paragraph.","I flagged the last comm-module spike before the auction heat map cooled. Ping me if Drill Bit bids look wired wrong.","Ito watches supply auctions tied to live symbols from Callisto Outer Rim. Traders say she hears Comm Module noise before the chart does.","Ito refreshed the auction feed once more after send.","supplies;auctions;Comm Modules;stock symbols",female
anders-lindqvist,Anders Lindqvist,Anchorage Bureau Chief,Shipping,Belt Sector 7,"Competitive bureau chief who races the Ceres desk","Authoritative, competitive; bureau pride; Salvage Scrap and refinery doors; first-person plural rare; crisp competition with other desks.","I run Belt Sector 7 to beat Ceres to the first headline each UTC day. My desk answers when refinery doors jam.","Lindqvist runs the Belt Sector 7 bureau like a relay team. ONN editors expect his desk to own refinery queues and route fights first.","Lindqvist cleared the slot for the next edition before Ceres could.","bureau chief;refineries;routes;Salvage Scrap",male
zara-pemberton,Zara Pemberton,Digital Frontier Editor,Exonet,Titan Freight Hub,"Meta editor who jokes about uploads and market value","Self-aware newsroom humor; Exonet trade pages; auction fee pools; playful deks allowed; still accurate on game mechanics.","I coined 'relay bulletin edition' as a joke and it stuck. I fix profile-upload rants and explain market value figures to newcomers.","Pemberton edits digital frontier copy from Titan Freight Hub. She writes ONN's Exonet trade coverage with wit that still survives fact-check.","Pemberton hit publish and went back to refreshing upload queues.","trade pages;uploads;auction fees;market value",female
